% Model:              ML端口边界_高斯光极限精度比较1.32.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 6 2024, 09:23
% Dimension:          1
% Nodes:              1521
% Expressions:        1
% Description:        线结果图
% x 坐标 (m);imag(ewfd.Ez)
-1.8899999999999999E-7;-3.7350203928444017E-6
-1.8875131578947367E-7;-3.2780981760512325E-6
-1.8850263157894735E-7;-2.742096049353736E-6
-1.8825394736842104E-7;-2.127014012751913E-6
-1.8800526315789472E-7;-1.4328520662457624E-6
-1.877565789473684E-7;-6.946504521598014E-7
-1.875078947368421E-7;4.245622068012918E-8
-1.8725921052631577E-7;7.784679522740294E-7
-1.8701052631578945E-7;1.5133847426218991E-6
-1.8676184210526314E-7;2.2020672482421843E-6
-1.8651315789473682E-7;2.8099801309305905E-6
-1.862644736842105E-7;3.3371233906871175E-6
-1.860157894736842E-7;3.783497027511766E-6
-1.8576710526315787E-7;4.114117300269202E-6
-1.8551842105263156E-7;4.320524319727533E-6
-1.8526973684210524E-7;4.402718085886758E-6
-1.8502105263157892E-7;4.360698598746876E-6
-1.847723684210526E-7;4.185314708250139E-6
-1.845236842105263E-7;3.897942126163774E-6
-1.8427499999999997E-7;3.49858085248778E-6
-1.8402631578947366E-7;2.9872308872221576E-6
-1.8377763157894734E-7;2.384643247757233E-6
-1.8352894736842103E-7;1.732407901191054E-6
-1.832802631578947E-7;1.030524847523621E-6
-1.830315789473684E-7;2.789940867549342E-7
-1.8278289473684208E-7;-4.808732391364476E-7
-1.8253421052631579E-7;-1.2059315024835653E-6
-1.8228552631578947E-7;-1.8961807032864188E-6
-1.8203684210526315E-7;-2.551620841545008E-6
-1.8178815789473684E-7;-3.1289150543734636E-6
-1.8153947368421052E-7;-3.602670915377222E-6
-1.812907894736842E-7;-3.972888424556285E-6
-1.810421052631579E-7;-4.23956758191065E-6
-1.8079342105263157E-7;-4.376740839080704E-6
-1.8054473684210526E-7;-4.388075257538484E-6
-1.8029605263157894E-7;-4.273570837283989E-6
-1.8004736842105262E-7;-4.033227578317219E-6
-1.797986842105263E-7;-3.6700110219495642E-6
-1.7955E-7;-3.214915706277809E-6
-1.7930131578947367E-7;-2.667941631301954E-6
-1.7905263157894736E-7;-2.0290887970219997E-6
-1.7880394736842104E-7;-1.3288370542123529E-6
-1.7855526315789472E-7;-6.115636341691977E-7
-1.783065789473684E-7;1.2273146310746604E-7
-1.780578947368421E-7;8.740482376176383E-7
-1.7780921052631578E-7;1.5981084362236308E-6
-1.7756052631578946E-7;2.257018510884675E-6
-1.7731184210526317E-7;2.8507784616007704E-6
-1.7706315789473685E-7;3.3793882883719166E-6
-1.7681447368421054E-7;3.8045950429133255E-6
-1.7656578947368422E-7;4.1118652757795235E-6
-1.763171052631579E-7;4.301198986970512E-6
-1.760684210526316E-7;4.372596176486288E-6
-1.7581973684210527E-7;4.3108673929221995E-6
-1.7557105263157895E-7;4.131199144040752E-6
-1.7532236842105264E-7;3.833591429841946E-6
-1.7507368421052632E-7;3.418044250325781E-6
-1.74825E-7;2.8990846216382308E-6
-1.745763157894737E-7;2.3146824803124573E-6
-1.7432763157894737E-7;1.66483782634846E-6
-1.7407894736842106E-7;9.495506597462391E-7
-1.7383026315789474E-7;2.0642107794395518E-7
-1.7358157894736842E-7;-5.208492150376118E-7
-1.733328947368421E-7;-1.232260219198462E-6
-1.730842105263158E-7;-1.927811934538595E-6
-1.7283552631578947E-7;-2.563720205412479E-6
-1.7258684210526316E-7;-3.110039605637055E-6
-1.7233815789473684E-7;-3.566770135212323E-6
-1.7208947368421053E-7;-3.933911794138283E-6
-1.718407894736842E-7;-4.181023807056434E-6
-1.715921052631579E-7;-4.305131804439619E-6
-1.7134342105263158E-7;-4.306235786287836E-6
-1.7109473684210526E-7;-4.184335752601088E-6
-1.7084605263157894E-7;-3.9357715581543625E-6
-1.7059736842105263E-7;-3.5856419277730423E-6
-1.703486842105263E-7;-3.133946861457126E-6
-1.701E-7;-2.5806863592066154E-6
-1.6985131578947368E-7;-1.9503882077155363E-6
-1.6960263157894736E-7;-1.2848287631459516E-6
-1.6935394736842105E-7;-5.840080254978609E-7
-1.6910526315789473E-7;1.520740052287355E-7
-1.688565789473684E-7;8.818452785473037E-7
-1.686078947368421E-7;1.5655527887581622E-6
-1.6835921052631578E-7;2.2031965358613107E-6
-1.6811052631578946E-7;2.794776519856749E-6
-1.6786184210526315E-7;3.3002903336881787E-6
-1.6761315789473683E-7;3.6996184003628193E-6
-1.6736447368421051E-7;3.99276071988067E-6
-1.671157894736842E-7;4.17971729224173E-6
-1.6686710526315788E-7;4.239780062372496E-6
-1.6661842105263157E-7;4.1811614513271935E-6
-1.6636973684210525E-7;4.003861459105822E-6
-1.6612105263157893E-7;3.7078800857083827E-6
-1.6587236842105262E-7;3.3007655841399907E-6
-1.656236842105263E-7;2.8150866372727794E-6
-1.6537499999999998E-7;2.2508432451067488E-6
-1.6512631578947367E-7;1.6080354076418993E-6
-1.6487763157894735E-7;9.187857571624248E-7
-1.6462894736842103E-7;2.252936860599351E-7
-1.6438026315789472E-7;-4.7244080566556966E-7
-1.641315789473684E-7;-1.1744177180140896E-6
-1.6388289473684209E-7;-1.838471734731887E-6
-1.6363421052631577E-7;-2.43156617122882E-6
-1.6338552631578945E-7;-2.953701027504888E-6
-1.6313684210526314E-7;-3.4048763035600924E-6
-1.6288815789473682E-7;-3.7516678856177956E-6
-1.626394736842105E-7;-3.984664921043466E-6
-1.623907894736842E-7;-4.103867409837103E-6
-1.6214210526315787E-7;-4.109275351998706E-6
-1.6189342105263155E-7;-3.990845335508528E-6
-1.6164473684210524E-7;-3.7665758884774973E-6
-1.6139605263157892E-7;-3.4364670109056155E-6
-1.611473684210526E-7;-3.0005187027928823E-6
-1.608986842105263E-7;-2.4761333875660823E-6
-1.6064999999999997E-7;-1.9003184511629682E-6
-1.6040131578947366E-7;-1.2730738935835396E-6
-1.6015263157894734E-7;-5.94399714827797E-7
-1.5990394736842102E-7;9.899547088014072E-8
-1.596552631578947E-7;7.677480711023659E-7
-1.594065789473684E-7;1.4118580858388784E-6
-1.5915789473684207E-7;2.0313255150896786E-6
-1.5890921052631576E-7;2.5866626398149726E-6
-1.5866052631578944E-7;3.053528489671847E-6
-1.5841184210526313E-7;3.431923064660302E-6
-1.581631578947368E-7;3.721846364780337E-6
-1.579144736842105E-7;3.898472903330414E-6
-1.576657894736842E-7;3.96288244102128E-6
-1.5741710526315789E-7;3.915074977852937E-6
-1.5716842105263157E-7;3.7550505138253843E-6
-1.5691973684210525E-7;3.4832632275546603E-6
-1.5667105263157894E-7;3.125174541801394E-6
-1.564223684210526E-7;2.680784456565586E-6
-1.5617368421052628E-7;2.150092971847236E-6
-1.5592499999999996E-7;1.55807123866884E-6
-1.5567631578947367E-7;9.427962877075462E-7
-1.5542763157894736E-7;3.042681189633534E-7
-1.5517894736842104E-7;-3.57513267563738E-7
-1.5493026315789472E-7;-1.004615081203179E-6
-1.546815789473684E-7;-1.6033868210015339E-6
-1.5443289473684212E-7;-2.153828486958803E-6
-1.541842105263158E-7;-2.6559400790749854E-6
-1.5393552631578948E-7;-3.0758151555851463E-6
-1.5368684210526317E-7;-3.3988865577839786E-6
-1.5343815789473685E-7;-3.6251542856714825E-6
-1.5318947368421053E-7;-3.754618339247658E-6
-1.5294078947368422E-7;-3.772177608633174E-6
-1.526921052631579E-7;-3.688206463931017E-6
-1.5244342105263159E-7;-3.502704905141187E-6
-1.5219473684210527E-7;-3.215672932263684E-6
-1.5194605263157895E-7;-2.8369131297531935E-6
-1.5169736842105264E-7;-2.396455614627237E-6
-1.5144868421052632E-7;-1.8943003868858151E-6
-1.512E-7;-1.3304474465289271E-6
-1.509513157894737E-7;-7.345669552017656E-7
-1.5070263157894737E-7;-1.4257248573068268E-7
-1.5045394736842105E-7;4.4553596188432163E-7
-1.5020526315789474E-7;1.0297583876432474E-6
-1.4995657894736842E-7;1.5741795846260863E-6
-1.497078947368421E-7;2.052923121686536E-6
-1.494592105263158E-7;2.465988998824597E-6
-1.4921052631578947E-7;2.813377216040269E-6
-1.4896184210526316E-7;3.06886025810798E-6
-1.4871315789473684E-7;3.227577565620976E-6
-1.4846447368421052E-7;3.2895291385792575E-6
-1.482157894736842E-7;3.254714976982824E-6
-1.479671052631579E-7;3.1177368164432235E-6
-1.4771842105263157E-7;2.8961244961973494E-6
-1.4746973684210526E-7;2.5898780162452023E-6
-1.4722105263157894E-7;2.1989973765867815E-6
-1.4697236842105263E-7;1.740524664977554E-6
-1.467236842105263E-7;1.2459137092593571E-6
-1.46475E-7;7.15164509432191E-7
-1.4622631578947368E-7;1.4827706549605552E-7
-1.4597763157894736E-7;-4.2352860744767715E-7
-1.4572894736842104E-7;-9.690394300882503E-7
-1.4548026315789473E-7;-1.488255402425664E-6
-1.452315789473684E-7;-1.981176524459918E-6
-1.449828947368421E-7;-2.4164858537660887E-6
-1.4473421052631578E-7;-2.776558853537548E-6
-1.4448552631578946E-7;-3.061395523774294E-6
-1.4423684210526315E-7;-3.270995864476329E-6
-1.4398815789473683E-7;-3.3873613419484823E-6
-1.437394736842105E-7;-3.4131001749716776E-6
-1.434907894736842E-7;-3.3482123635459157E-6
-1.4324210526315788E-7;-3.1926979076711966E-6
-1.4299342105263156E-7;-2.948702829805547E-6
-1.4274473684210525E-7;-2.6363608005771953E-6
-1.4249605263157893E-7;-2.255671819986141E-6
-1.4224736842105261E-7;-1.8066358880323843E-6
-1.419986842105263E-7;-1.3090471643355465E-6
-1.4175E-7;-7.901507906004791E-7
-1.415013157894737E-7;-2.4994676682718237E-7
-1.4125263157894738E-7;3.115649069843439E-7
-1.4100394736842106E-7;8.672099921783582E-7
