% Model:              ML端口边界_高斯光极限精度比较1.32.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 6 2024, 09:23
% Dimension:          1
% Nodes:              1521
% Expressions:        1
% Description:        线结果图
% x 坐标 (m);real(ewfd.Ez)
-1.8899999999999999E-7;2.325874129889748E-6
-1.8875131578947367E-7;2.933530606990401E-6
-1.8850263157894735E-7;3.4422095872753945E-6
-1.8825394736842104E-7;3.851911070744728E-6
-1.8800526315789472E-7;4.162635057398404E-6
-1.877565789473684E-7;4.345925772763584E-6
-1.875078947368421E-7;4.4025325106036E-6
-1.8725921052631577E-7;4.332455270918452E-6
-1.8701052631578945E-7;4.135694053708141E-6
-1.8676184210526314E-7;3.8122929959671837E-6
-1.8651315789473682E-7;3.3913056552370815E-6
-1.862644736842105E-7;2.872732031517834E-6
-1.860157894736842E-7;2.256572124809441E-6
-1.8576710526315787E-7;1.5713351781014093E-6
-1.8551842105263156E-7;8.613279245988543E-7
-1.8526973684210524E-7;1.26550364301776E-7
-1.8502105263157892E-7;-6.329975027898257E-7
-1.847723684210526E-7;-1.3731487342167244E-6
-1.845236842105263E-7;-2.0542180247538465E-6
-1.8427499999999997E-7;-2.6762053744011913E-6
-1.8402631578947366E-7;-3.2391107831587593E-6
-1.8377763157894734E-7;-3.7029218513199907E-6
-1.8352894736842103E-7;-4.05034343701619E-6
-1.832802631578947E-7;-4.281375540247356E-6
-1.830315789473684E-7;-4.396018161013489E-6
-1.8278289473684208E-7;-4.376328841315013E-6
-1.8253421052631579E-7;-4.235101760304869E-6
-1.8228552631578947E-7;-3.972336917983056E-6
-1.8203684210526315E-7;-3.588034314349576E-6
-1.8178815789473684E-7;-3.094310278153625E-6
-1.8153947368421052E-7;-2.528252977707082E-6
-1.812907894736842E-7;-1.889862413009946E-6
-1.810421052631579E-7;-1.179138584062218E-6
-1.8079342105263157E-7;-4.327640776668044E-7
-1.8054473684210526E-7;3.045318181350916E-7
-1.8029605263157894E-7;1.03274910334347E-6
-1.8004736842105262E-7;1.7518877779583307E-6
-1.797986842105263E-7;2.417171389848182E-6
-1.7955E-7;2.996245456764125E-6
-1.7930131578947367E-7;3.4891099787061593E-6
-1.7905263157894736E-7;3.895764955674285E-6
-1.7880394736842104E-7;4.183378155097468E-6
-1.7855526315789472E-7;4.3463769202962275E-6
-1.783065789473684E-7;4.384761251270563E-6
-1.780578947368421E-7;4.298531148020475E-6
-1.7780921052631578E-7;4.081419841407989E-6
-1.7756052631578946E-7;3.7570135260099238E-6
-1.7731184210526317E-7;3.3253122018262784E-6
-1.7706315789473685E-7;2.7863158688570536E-6
-1.7681447368421054E-7;2.1630101761713496E-6
-1.7656578947368422E-7;1.4974819555301437E-6
-1.763171052631579E-7;7.897312069334357E-7
-1.760684210526316E-7;3.9757930381225795E-8
-1.7581973684210527E-7;-7.105910676192221E-7
-1.7557105263157895E-7;-1.4195894792958637E-6
-1.7532236842105264E-7;-2.087237304648699E-6
-1.7507368421052632E-7;-2.7135345436777276E-6
-1.74825E-7;-3.256529233843835E-6
-1.745763157894737E-7;-3.6934469859780407E-6
-1.7432763157894737E-7;-4.024287800080346E-6
-1.7407894736842106E-7;-4.249051676150749E-6
-1.7383026315789474E-7;-4.344375517678843E-6
-1.7358157894736842E-7;-4.316459940606541E-6
-1.733328947368421E-7;-4.1653049449338436E-6
-1.730842105263158E-7;-3.890910530660751E-6
-1.7283552631578947E-7;-3.4987890436063376E-6
-1.7258684210526316E-7;-3.0211576089819445E-6
-1.7233815789473684E-7;-2.4580162267875727E-6
-1.7208947368421053E-7;-1.8093648970232214E-6
-1.718407894736842E-7;-1.1069389676165626E-6
-1.715921052631579E-7;-3.944488731901061E-7
-1.7134342105263158E-7;3.281053862561479E-7
-1.7109473684210526E-7;1.0607238107221994E-6
-1.7084605263157894E-7;1.7597590343770365E-6
-1.7059736842105263E-7;2.389527623839906E-6
-1.703486842105263E-7;2.9500295791108084E-6
-1.701E-7;3.441264900189743E-6
-1.6985131578947368E-7;3.827169718882269E-6
-1.6960263157894736E-7;4.095864822328501E-6
-1.6935394736842105E-7;4.247350210528441E-6
-1.6910526315789473E-7;4.281625883482085E-6
-1.688565789473684E-7;4.186160746288848E-6
-1.686078947368421E-7;3.977924298637992E-6
-1.6835921052631578E-7;3.6569165405295184E-6
-1.6811052631578946E-7;3.2231374719634256E-6
-1.6786184210526315E-7;2.6929240173639157E-6
-1.6761315789473683E-7;2.104270223265977E-6
-1.6736447368421051E-7;1.4571760896696104E-6
-1.671157894736842E-7;7.516416165748158E-7
-1.6686710526315788E-7;2.532692433914441E-8
-1.6661842105263157E-7;-6.798220788418806E-7
-1.6636973684210525E-7;-1.3638053929682595E-6
-1.6612105263157893E-7;-2.026623018039992E-6
-1.6587236842105262E-7;-2.626220053670109E-6
-1.656236842105263E-7;-3.1353227676109945E-6
-1.6537499999999998E-7;-3.553931159862648E-6
-1.6512631578947367E-7;-3.882045230425069E-6
-1.6487763157894735E-7;-4.091892467249455E-6
-1.6462894736842103E-7;-4.1827530566625195E-6
-1.6438026315789472E-7;-4.154626998664261E-6
-1.641315789473684E-7;-4.007514293254679E-6
-1.6388289473684209E-7;-3.7400311393826736E-6
-1.6363421052631577E-7;-3.377965113128973E-6
-1.6338552631578945E-7;-2.921316214493578E-6
-1.6313684210526314E-7;-2.3700844434764873E-6
-1.6288815789473682E-7;-1.7495226432060753E-6
-1.626394736842105E-7;-1.1001414182661659E-6
-1.623907894736842E-7;-4.2194076865675934E-7
-1.6214210526315787E-7;2.8507930562214456E-7
-1.6189342105263155E-7;9.805804110093046E-7
-1.6164473684210524E-7;1.6274460407133049E-6
-1.6139605263157892E-7;2.2256761947341454E-6
-1.611473684210526E-7;2.7752708730718263E-6
-1.608986842105263E-7;3.238853212667558E-6
-1.6064999999999997E-7;3.5990168423324817E-6
-1.6040131578947366E-7;3.8557617620665975E-6
-1.6015263157894734E-7;4.009087971869905E-6
-1.5990394736842102E-7;4.041017572184042E-6
-1.596552631578947E-7;3.961171113044885E-6
-1.594065789473684E-7;3.769548594452436E-6
-1.5915789473684207E-7;3.466150016406693E-6
-1.5890921052631576E-7;3.059969209601648E-6
-1.5866052631578944E-7;2.5828958856294324E-6
-1.5841184210526313E-7;2.034930044490046E-6
-1.581631578947368E-7;1.4160716861834888E-6
-1.579144736842105E-7;7.578039362980867E-7
-1.576657894736842E-7;9.979464370075736E-8
-1.5741710526315789E-7;-5.579561916084994E-7
-1.5716842105263157E-7;-1.2154485696296834E-6
-1.5691973684210525E-7;-1.8330279604436005E-6
-1.5667105263157894E-7;-2.380859624251727E-6
-1.564223684210526E-7;-2.8589435610540634E-6
-1.5617368421052628E-7;-3.2672797708506097E-6
-1.5592499999999996E-7;-3.5756565737375567E-6
-1.5567631578947367E-7;-3.776946085289887E-6
-1.5542763157894736E-7;-3.8711483055076E-6
-1.5517894736842104E-7;-3.858263234390695E-6
-1.5493026315789472E-7;-3.730569636636485E-6
-1.546815789473684E-7;-3.506200732078493E-6
-1.5443289473684212E-7;-3.1851565207167206E-6
-1.541842105263158E-7;-2.7674370025511675E-6
-1.5393552631578948E-7;-2.2706299130865514E-6
-1.5368684210526317E-7;-1.729488516494778E-6
-1.5343815789473685E-7;-1.144012812775847E-6
-1.5318947368421053E-7;-5.142028019297586E-7
